Date,Start_time,End_time,Activity,Alternations,Notes
2020-06-04,08:28:43.015820,09:12:09.884976,School,0,
2020-06-04,09:17:08.659880,10:11:30.092239,School,0,
2020-06-04,10:16:21.859156,10:17:36.661741,CFA,0,
2020-06-04,10:17:47.055864,10:46:53.967685,CFA,0,
2020-06-04,10:50:52.055728,11:52:51.393157,Reading,0,
2020-06-04,12:46:11.272583,13:38:19.844157,Reading,0,
2020-06-04,13:38:35.347293,14:29:32.593749,Phyton,0,
2020-06-04,14:32:37.436687,15:29:54.679047,School,0,
2020-06-04,15:36:23.185499,16:20:53.559025,School,0,
2020-06-04,16:21:11.937203,16:46:01.494501,Reading,0,
2020-06-04,17:20:50.545202,17:35:11.913338,Reading,0,
2020-06-04,19:18:11.032974,19:18:15.204947,Phyton,30,
2020-06-05,08:25:14.849696,09:38:58.107590,School,0,
2020-06-05,09:39:04.379831,10:03:46.398551,Reading,0,
2020-06-05,10:34:56.252366,12:03:16.653190,CFA,0,
2020-06-05,14:48:02.599299,15:56:34.976842,School,0,
2020-06-05,15:56:44.045339,16:24:05.639841,Phyton,0,
2020-06-05,16:31:14.326436,17:01:32.579079,Phyton,0,
2020-06-05,17:01:41.533208,17:40:40.126748,Reading,-10,
2020-06-06,13:20:38.375455,13:20:39.589393,Reading,30,
2020-06-06,13:21:02.334412,14:49:49.798785,School,0,
2020-06-06,15:40:05.013590,16:18:01.897284,School,0,
2020-06-06,21:01:28.616826,21:45:00.616826,Reading,0,
2020-06-07,08:29:44.784045,08:43:45.505385,Reading,0,
2020-06-07,08:43:55.888227,09:25:54.333210,School,0,
2020-06-07,09:36:24.440194,09:56:26.608483,School,0,
2020-06-07,11:04:34.000000,11:04:36.000000,Phyton,70,
2020-06-07,14:02:48,14:24:17,School,0,
2020-06-07,14:45:34.000000,15:15:36.000000,Phyton,0,
2020-06-07,16:03:03,16:05:25,School,0,
2020-06-07,19:16:31,19:16:33,Phyton,20,
